DATE,Trade Service,Construction,Energy,Foods,Transportation and Warehouse Services,"Final Demand Services Less Trade, Transportation, and Warehousing Services",Final Demand Goods Less Foods and Energy
2009-11-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009-12-01,99.6,99.9,99.3,101.9,100.0,99.8,100.1
2010-01-01,100.6,100.2,104.1,102.0,101.3,100.7,100.6
2010-02-01,101.2,100.2,100.6,102.1,101.5,100.6,100.7
2010-03-01,101.7,100.0,104.4,104.6,102.5,100.2,101.0
2010-04-01,101.9,100.3,106.5,104.0,103.1,100.5,101.3
2010-05-01,102.4,100.3,107.4,104.2,103.1,100.7,101.3
2010-06-01,101.7,100.2,107.0,101.6,104.0,100.7,101.2
2010-07-01,101.2,100.3,107.7,102.4,104.4,101.1,101.2
2010-08-01,101.2,100.2,108.9,102.4,103.8,101.2,101.4
2010-09-01,102.2,100.2,108.0,103.7,102.4,101.1,101.5
2010-10-01,102.3,100.6,109.5,104.5,103.5,101.4,102.1
2010-11-01,101.8,100.5,110.3,106.0,104.2,101.4,102.2
2010-12-01,101.7,100.5,111.9,107.3,104.3,101.1,102.5
2011-01-01,101.2,101.0,114.9,108.2,106.1,101.8,103.3
2011-02-01,102.3,101.0,117.4,112.2,107.2,101.8,103.8
2011-03-01,104.2,101.0,125.4,111.5,109.5,101.9,104.0
2011-04-01,104.1,101.8,131.1,112.4,110.2,102.2,104.5
2011-05-01,104.5,101.8,134.9,111.3,110.8,102.0,104.7
2011-06-01,104.2,101.8,130.6,112.4,110.8,102.3,104.9
2011-07-01,103.7,102.9,131.1,112.7,110.7,102.7,105.3
2011-08-01,105.0,103.0,127.6,113.9,111.2,102.9,105.4
2011-09-01,105.4,102.9,129.1,114.7,110.3,102.8,105.5
2011-10-01,104.7,104.3,124.8,113.2,110.9,102.9,105.9
2011-11-01,104.6,104.4,124.7,114.2,111.1,103.1,105.7
2011-12-01,104.0,104.3,122.2,113.4,111.3,102.9,105.7
