,CPI,PPI
2012-03-01,232.792,114.4
2012-04-01,233.234,114.5
2012-05-01,233.339,114.3
2012-06-01,233.563,114.9
2012-07-01,233.63,116.1
2012-08-01,234.156,117.4
2012-09-01,234.298,118.0
2012-10-01,234.878,117.5
2012-11-01,234.896,118.3
2012-12-01,235.39,118.0
2013-01-01,236.341,118.4
2013-02-01,236.301,117.3
2013-03-01,236.332,118.6
2013-04-01,236.841,117.0
2013-05-01,236.526,118.3
2013-06-01,236.792,118.6
2013-07-01,237.001,118.7
2013-08-01,237.406,118.0
2013-09-01,237.522,117.6
2013-10-01,237.871,117.3
2013-11-01,237.641,117.2
2013-12-01,237.869,117.0
2014-01-01,238.872,117.6
2014-02-01,239.608,118.1
2014-03-01,240.398,120.0
2014-04-01,241.337,123.0
2014-05-01,242.344,122.6
2014-06-01,242.326,123.1
2014-07-01,243.034,123.0
2014-08-01,243.811,122.5
2014-09-01,244.63,122.2
2014-10-01,245.166,122.4
2014-11-01,245.192,122.3
2014-12-01,245.976,122.1
2015-01-01,246.538,120.6
2015-02-01,246.68,118.8
2015-03-01,246.045,118.1
2015-04-01,246.121,117.5
2015-05-01,246.187,118.9
2015-06-01,246.68,119.8
2015-07-01,247.003,119.0
2015-08-01,247.671,119.3
2015-09-01,248.632,118.5
2015-10-01,249.052,117.3
2015-11-01,248.306,117.0
2015-12-01,247.903,115.8
2016-01-01,248.631,116.4
2016-02-01,248.8,116.4
2016-03-01,247.978,115.1
2016-04-01,248.413,115.0
2016-05-01,247.86,115.9
2016-06-01,247.482,116.9
2016-07-01,247.554,115.9
2016-08-01,247.719,114.4
2016-09-01,247.917,114.8
2016-10-01,248.073,113.5
2016-11-01,247.435,112.9
2016-12-01,247.313,113.9
2017-01-01,248.242,113.9
2017-02-01,248.791,114.8
2017-03-01,249.165,115.8
2017-04-01,249.739,117.5
2017-05-01,250.016,117.1
2017-06-01,249.653,118.2
2017-07-01,250.214,117.8
2017-08-01,250.493,117.0
2017-09-01,250.993,116.6
2017-10-01,251.364,116.4
2017-11-01,250.871,116.5
2017-12-01,251.238,116.2
2018-01-01,252.361,116.1
2018-02-01,252.266,115.5
2018-03-01,252.37,118.0
2018-04-01,253.209,116.8
2018-05-01,253.098,117.8
2018-06-01,253.231,116.9
2018-07-01,253.746,116.3
2018-08-01,254.077,115.7
2018-09-01,254.393,115.2
2018-10-01,254.358,115.7
2018-11-01,254.379,117.0
2018-12-01,255.21,119.4
2019-01-01,256.417,117.6
2019-02-01,257.222,117.4
2019-03-01,257.724,118.0
2019-04-01,257.708,118.2
2019-05-01,258.11,118.5
2019-06-01,258.064,119.6
2019-07-01,258.274,119.3
2019-08-01,258.41,118.4
2019-09-01,258.943,118.3
2019-10-01,259.632,119.4
2019-11-01,259.467,121.0
2019-12-01,259.823,120.8
2020-01-01,261.057,120.9
2020-02-01,261.876,118.7
2020-03-01,262.708,118.8
2020-04-01,266.757,118.6
2020-05-01,268.439,126.2
2020-06-01,269.77,120.3
2020-07-01,268.863,118.8
2020-08-01,269.079,118.3
2020-09-01,269.163,119.8
2020-10-01,269.828,122.0
2020-11-01,269.069,122.1
2020-12-01,270.023,120.6
2021-01-01,270.938,122.4
2021-02-01,271.363,124.0
2021-03-01,271.812,124.9
2021-04-01,273.09,127.3
2021-05-01,274.212,131.6
2021-06-01,276.206,133.4
2021-07-01,278.127,131.119
2021-08-01,279.135,133.625
2021-09-01,281.506,135.746
2021-10-01,284.205,135.016
2021-11-01,285.507,136.603
2021-12-01,286.966,136.156
