,CPI,PPI
2012-03-01,270.604,114.5
2012-04-01,272.146,115.0
2012-05-01,272.912,114.7
2012-06-01,273.239,114.9
2012-07-01,272.86,114.2
2012-08-01,272.651,114.6
2012-09-01,273.044,113.5
2012-10-01,274.883,114.6
2012-11-01,276.008,114.3
2012-12-01,276.982,114.3
2013-01-01,277.406,114.9
2013-02-01,277.96,115.0
2013-03-01,278.874,116.0
2013-04-01,279.065,115.0
2013-05-01,279.948,114.4
2013-06-01,280.184,115.7
2013-07-01,281.08,116.0
2013-08-01,279.523,116.2
2013-09-01,279.491,114.4
2013-10-01,281.697,115.3
2013-11-01,283.116,114.6
2013-12-01,281.68,116.6
2014-01-01,280.687,116.1
2014-02-01,281.759,115.8
2014-03-01,282.663,117.4
2014-04-01,285.402,118.1
2014-05-01,288.627,118.1
2014-06-01,289.018,119.0
2014-07-01,286.239,119.0
2014-08-01,283.786,119.3
2014-09-01,283.425,117.4
2014-10-01,286.691,117.4
2014-11-01,288.174,117.2
2014-12-01,286.585,117.5
2015-01-01,286.644,116.8
2015-02-01,287.914,115.8
2015-03-01,288.349,116.4
2015-04-01,289.971,115.9
2015-05-01,292.994,115.7
2015-06-01,293.93,116.5
2015-07-01,292.119,116.4
2015-08-01,289.798,115.3
2015-09-01,289.576,113.7
2015-10-01,291.969,114.0
2015-11-01,294.8,114.0
2015-12-01,294.081,113.4
2016-01-01,294.42,114.1
2016-02-01,295.533,113.5
2016-03-01,296.363,114.2
2016-04-01,299.635,113.7
2016-05-01,302.381,112.8
2016-06-01,302.768,113.6
2016-07-01,300.823,114.2
2016-08-01,298.876,113.7
2016-09-01,298.129,111.7
2016-10-01,299.622,113.0
2016-11-01,302.164,113.5
2016-12-01,302.41,114.7
2017-01-01,303.718,115.2
2017-02-01,306.221,115.4
2017-03-01,307.49,114.9
2017-04-01,308.908,115.6
2017-05-01,311.178,115.0
2017-06-01,312.012,116.1
2017-07-01,310.567,115.7
2017-08-01,309.469,115.6
2017-09-01,309.704,115.6
2017-10-01,312.29,116.9
2017-11-01,313.772,117.9
2017-12-01,313.645,117.3
2018-01-01,315.764,117.9
2018-02-01,320.089,119.0
2018-03-01,320.774,120.5
2018-04-01,321.437,120.8
2018-05-01,322.966,120.7
2018-06-01,323.646,122.6
2018-07-01,322.842,122.9
2018-08-01,321.387,122.3
2018-09-01,322.241,122.7
2018-10-01,324.131,124.6
2018-11-01,324.168,125.4
2018-12-01,322.317,124.9
2019-01-01,322.216,125.5
2019-02-01,323.575,124.3
2019-03-01,323.982,124.8
2019-04-01,325.114,125.5
2019-05-01,326.397,125.4
2019-06-01,326.667,126.4
2019-07-01,325.105,126.5
2019-08-01,324.396,125.3
2019-09-01,324.717,124.1
2019-10-01,326.582,125.7
2019-11-01,326.686,125.5
2019-12-01,324.209,127.6
2020-01-01,324.5,126.4
2020-02-01,327.466,125.6
2020-03-01,321.61,122.5
2020-04-01,307.25,118.3
2020-05-01,297.882,119.3
2020-06-01,303.942,121.5
2020-07-01,312.938,120.5
2020-08-01,311.422,118.8
2020-09-01,308.143,118.9
2020-10-01,309.965,121.4
2020-11-01,315.554,120.7
2020-12-01,312.959,120.1
2021-01-01,311.312,121.2
2021-02-01,313.16,122.0
2021-03-01,316.345,124.4
2021-04-01,324.519,128.9
2021-05-01,331.188,128.6
2021-06-01,335.548,131.2
2021-07-01,332.917,134.223
2021-08-01,325.652,134.486
2021-09-01,321.673,132.27
2021-10-01,323.903,134.657
2021-11-01,327.749,138.213
2021-12-01,326.063,140.064
