,All items,Food,Food at home,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy and related products,Fruits and vegetables,Nonalcoholic beverages and beverage materials,Other food at home,Food away from home,Energy,Energy commodities,Fuel oil,Motor fuel,Gasoline ,Energy services,Electricity,Utility ,All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Used cars and trucks,Medical care commodities,Alcoholic beverages,Tobacco and smoking products,Services less energy services,Shelter,Rent of primary residence,Owners' equivalent rent of residences,Medical care services,Physicians' services,Hospital services,Transportation services,Motor vehicle maintenance and repair,Motor vehicle insurance,Airline fare,Airline fares
2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-01,229.392,232.792,231.383,267.101,230.485,219.131,279.057,169.513,204.574,236.073,253.599,334.427,395.016,330.834,329.78,186.784,192.148,168.196,228.735,147.644,127.258,144.35,148.677,333.188,230.193,845.76,277.78,255.609,258.569,263.317,435.721,343.867,250.638,270.604,256.616,396.393,303.843,
2012-04-01,230.085,233.234,231.711,268.014,230.967,216.918,281.648,169.191,204.864,236.695,255.736,339.793,390.483,336.673,335.742,185.834,192.472,163.692,229.303,148.07,128.485,144.522,151.087,333.06,230.092,847.032,278.431,256.031,258.922,263.765,437.151,344.151,251.819,272.146,256.544,397.507,312.845,
2012-05-01,229.815,233.339,231.518,268.653,229.351,216.096,283.149,167.866,205.554,237.262,250.306,327.659,379.681,324.589,323.604,186.762,196.159,156.863,229.602,148.02,127.688,144.401,153.565,333.131,230.766,845.622,278.956,256.442,259.231,264.012,438.766,345.118,252.476,272.912,257.372,398.478,317.066,
2012-06-01,229.478,233.563,231.515,267.321,230.464,215.485,283.679,167.772,205.313,237.839,244.167,307.427,349.807,304.697,303.747,194.261,204.907,160.714,229.879,147.725,125.241,144.367,155.306,333.348,231.444,849.078,279.608,256.95,259.407,264.276,441.041,347.408,254.248,273.239,257.629,399.729,313.92,
2012-07-01,229.104,233.63,231.306,268.449,231.309,214.434,280.173,167.375,205.508,238.337,239.972,299.361,348.104,296.502,295.498,193.679,203.318,162.972,229.893,147.137,122.3,143.953,155.815,335.048,231.192,858.73,280.024,257.409,260.107,264.74,442.305,348.828,254.982,272.86,257.423,400.709,305.689,
2012-08-01,230.379,234.156,231.708,267.794,232.475,214.549,280.672,167.622,205.864,239.057,250.306,320.214,364.165,317.798,316.859,194.136,202.87,165.953,230.196,147.133,123.568,143.749,154.851,336.004,230.674,857.727,280.526,257.843,260.677,265.422,442.41,349.608,253.38,272.651,257.641,403.246,299.284,
2012-09-01,231.407,234.298,231.615,266.655,231.555,215.311,282.092,168.82,205.266,239.565,256.332,333.202,379.131,330.923,329.898,193.579,202.628,164.528,230.78,147.74,128.63,143.725,151.118,335.721,231.018,859.094,281.081,258.252,261.421,266.013,443.812,350.865,254.738,273.044,258.024,404.464,299.228,
2012-10-01,231.317,234.878,232.456,267.828,232.917,217.083,284.065,168.479,205.267,239.742,250.523,326.887,383.117,324.131,322.934,187.97,194.544,165.966,231.276,148.036,131.359,144.011,148.293,335.768,231.058,858.115,281.7,258.829,262.707,266.581,444.242,350.415,255.477,274.883,258.578,410.031,302.533,
