,Food,Energy_x,Apparel,New vehicles,Medical care commodities,Shelter,Transportation services,Trade Service,Construction,Energy_y,Foods,Transportation and Warehouse Services,"Final Demand Services Less Trade, Transportation, and Warehousing Services",Final Demand Goods Less Foods and Energy
2012-03-01,232.792,253.599,127.258,144.35,333.188,255.609,270.604,106.8,105.2,130.0,114.4,114.5,103.4,106.7
2012-04-01,233.234,255.736,128.485,144.522,333.06,256.031,272.146,106.9,105.6,130.9,114.5,115.0,103.8,106.8
2012-05-01,233.339,250.306,127.688,144.401,333.131,256.442,272.912,107.6,105.6,127.2,114.3,114.7,103.6,106.8
2012-06-01,233.563,244.167,125.241,144.367,333.348,256.95,273.239,107.1,105.6,123.0,114.9,114.9,103.7,106.5
2012-07-01,233.63,239.972,122.3,143.953,335.048,257.409,272.86,106.4,105.6,122.5,116.1,114.2,103.8,106.7
2012-08-01,234.156,250.306,123.568,143.749,336.004,257.843,272.651,105.4,105.7,128.3,117.4,114.6,104.0,106.8
2012-09-01,234.298,256.332,128.63,143.725,335.721,258.252,273.044,106.3,105.6,132.5,118.0,113.5,104.2,106.7
2012-10-01,234.878,250.523,131.359,144.011,335.768,258.829,274.883,107.4,105.8,129.3,117.5,114.6,104.2,107.1
2012-11-01,234.896,238.946,129.573,144.762,334.285,258.999,276.008,108.2,105.8,122.5,118.3,114.3,104.3,107.1
2012-12-01,235.39,233.473,125.656,145.181,332.684,259.298,276.982,108.0,105.8,120.6,118.0,114.3,104.3,107.2
2013-01-01,236.341,234.624,124.687,145.871,334.046,260.039,277.406,107.2,106.4,121.9,118.4,114.9,104.8,107.6
2013-02-01,236.301,248.146,126.303,145.925,334.405,260.72,277.96,107.4,106.4,127.2,117.3,115.0,105.1,107.9
2013-03-01,236.332,249.565,128.279,145.989,335.198,261.33,278.874,108.3,106.4,126.2,118.6,116.0,105.3,107.9
2013-04-01,236.841,244.757,128.861,146.188,335.293,261.655,279.065,108.6,106.8,125.1,117.0,115.0,105.4,107.9
2013-05-01,236.526,247.805,127.952,145.955,333.064,262.289,279.948,107.0,106.9,126.3,118.3,114.4,105.4,107.8
2013-06-01,236.792,251.921,126.205,146.076,333.837,262.907,280.184,107.8,106.9,126.8,118.6,115.7,105.7,107.8
2013-07-01,237.001,251.37,124.215,145.726,334.673,263.451,281.08,108.6,107.4,126.9,118.7,116.0,105.9,107.9
2013-08-01,237.406,250.011,125.767,145.316,335.985,264.024,279.523,108.3,107.5,128.3,118.0,116.2,106.1,107.8
2013-09-01,237.522,248.513,129.701,145.457,336.527,264.344,279.491,108.6,107.7,127.7,117.6,114.4,106.1,107.7
2013-10-01,237.871,238.524,131.07,145.488,337.478,264.719,281.697,109.5,109.0,124.3,117.3,115.3,106.4,108.2
2013-11-01,237.641,233.136,129.435,145.643,337.006,265.31,283.116,109.1,109.1,121.1,117.2,114.6,106.5,108.2
2013-12-01,237.869,234.542,126.461,145.766,333.801,265.881,281.68,107.6,109.2,121.7,117.0,116.6,106.4,108.6
2014-01-01,238.872,239.551,124.275,145.88,336.756,266.754,280.687,107.4,109.8,123.2,117.6,116.1,106.9,109.3
2014-02-01,239.608,242.041,125.493,146.421,340.067,267.418,281.759,108.7,109.9,124.7,118.1,115.8,107.1,109.4
2014-03-01,240.398,250.543,128.888,146.348,339.567,268.431,282.663,109.9,110.0,127.9,120.0,117.4,107.4,109.2
2014-04-01,241.337,252.717,129.629,146.724,340.535,268.899,285.402,109.4,110.3,129.8,123.0,118.1,107.3,109.4
2014-05-01,242.344,255.982,128.963,146.708,341.432,269.766,288.627,110.2,110.3,129.4,122.6,118.1,107.2,109.3
2014-06-01,242.326,259.858,127.302,146.067,343.224,270.314,289.018,109.3,110.4,130.7,123.1,119.0,107.4,109.4
2014-07-01,243.034,257.907,124.645,146.086,344.687,271.115,286.239,111.1,110.8,129.9,123.0,119.0,107.6,109.6
2014-08-01,243.811,250.951,125.726,145.873,344.755,271.675,283.786,110.5,110.9,128.9,122.5,119.3,108.0,109.5
2014-09-01,244.63,247.077,130.324,145.88,346.347,272.165,283.425,109.8,110.9,127.0,122.2,117.4,107.8,109.5
2014-10-01,245.166,234.745,131.961,146.306,346.324,272.788,286.691,112.6,111.4,119.6,122.4,117.4,107.9,110.0
2014-11-01,245.192,221.844,129.023,146.481,347.616,273.233,288.174,111.6,111.4,113.9,122.3,117.2,107.9,109.8
2014-12-01,245.976,209.785,123.942,146.524,349.75,273.598,286.585,111.9,111.6,105.6,122.1,117.5,107.9,109.8
2015-01-01,246.538,192.619,122.527,146.558,349.98,274.589,286.644,111.9,112.0,95.7,120.6,116.8,108.0,110.1
2015-02-01,246.68,196.597,124.457,147.345,353.484,275.39,287.914,110.8,112.1,96.8,118.8,115.8,108.2,110.0
2015-03-01,246.045,204.731,128.245,147.574,353.995,276.36,288.349,111.4,112.1,99.7,118.1,116.4,108.3,109.9
2015-04-01,246.121,203.715,128.593,147.844,354.339,276.978,289.971,111.4,112.1,98.6,117.5,115.9,108.6,109.8
2015-05-01,246.187,214.33,127.083,147.889,354.647,277.563,292.994,111.1,112.2,104.8,118.9,115.7,108.5,109.9
2015-06-01,246.68,220.861,124.954,147.845,354.524,278.461,293.93,111.2,112.2,106.9,119.8,116.5,108.8,110.2
2015-07-01,247.003,219.852,122.607,147.154,355.235,279.559,292.119,112.0,112.8,106.6,119.0,116.4,109.0,110.2
2015-08-01,247.671,213.248,124.547,146.704,356.334,280.093,289.798,111.6,112.9,103.2,119.3,115.3,109.2,109.9
2015-09-01,248.632,201.641,128.54,146.57,355.746,280.814,289.576,112.0,112.9,97.0,118.5,113.7,108.9,109.7
2015-10-01,249.052,194.501,129.446,146.516,355.894,281.499,291.969,112.4,113.9,94.0,117.3,114.0,108.9,109.9
2015-11-01,248.306,189.267,127.039,146.804,356.286,281.932,294.8,112.0,113.8,92.0,117.0,114.0,108.7,109.7
2015-12-01,247.903,183.378,122.792,146.817,355.03,282.394,294.081,111.9,113.9,88.3,115.8,113.4,108.8,109.7
2016-01-01,248.631,180.171,121.878,147.456,357.414,283.498,294.42,113.1,113.4,85.1,116.4,114.1,109.8,110.1
2016-02-01,248.8,172.061,125.567,148.268,361.435,284.435,295.533,113.4,113.4,81.9,116.4,113.5,110.0,110.2
