Date,Gold US dollar per oz
12/31/78,207.8
1/31/79,227.3
2/28/79,245.7
3/30/79,242.1
4/30/79,239.2
5/31/79,257.6
6/29/79,279.1
7/31/79,294.7
8/31/79,300.8
9/28/79,355.1
10/31/79,391.7
11/30/79,392.0
12/31/79,455.1
1/31/80,675.3
2/29/80,665.3
3/31/80,553.6
4/30/80,517.4
5/30/80,513.8
6/30/80,600.7
7/31/80,644.3
8/29/80,627.2
9/30/80,673.6
10/31/80,661.2
11/28/80,623.5
12/31/80,594.9
1/30/81,557.4
2/27/81,499.8
3/31/81,498.8
4/30/81,495.8
5/29/81,479.7
6/30/81,460.8
7/31/81,409.3
8/31/81,410.2
9/30/81,443.8
10/30/81,437.8
11/30/81,413.4
12/31/81,410.1
1/29/82,384.1
2/26/82,374.1
3/31/82,330.3
4/30/82,350.3
5/31/82,333.8
6/30/82,315.0
7/30/82,339.0
8/31/82,364.2
9/30/82,437.3
10/29/82,422.2
11/30/82,414.9
12/31/82,444.3
1/31/83,481.3
2/28/83,491.2
3/31/83,419.7
4/29/83,432.9
5/31/83,438.0
6/30/83,412.8
7/29/83,422.7
8/31/83,416.2
9/30/83,411.8
10/31/83,393.6
11/30/83,381.7
12/30/83,388.3
1/31/84,370.9
2/29/84,385.9
3/30/84,394.3
4/30/84,381.4
5/31/84,377.4
6/29/84,377.7
7/31/84,347.5
8/31/84,347.7
9/28/84,341.1
10/31/84,340.2
11/30/84,341.2
12/31/84,320.2
1/31/85,302.8
2/28/85,299.1
3/29/85,303.9
4/30/85,325.3
5/31/85,316.4
6/28/85,316.5
7/31/85,317.2
8/30/85,329.8
9/30/85,323.4
10/31/85,325.8
11/29/85,325.3
12/31/85,321.9
1/31/86,345.4
2/28/86,338.9
3/31/86,345.7
4/30/86,340.4
5/30/86,342.4
6/30/86,342.7
7/31/86,348.3
8/29/86,376.6
9/30/86,417.7
10/31/86,423.5
11/28/86,397.6
12/31/86,390.9
1/30/87,408.3
2/27/87,401.1
3/31/87,408.9
4/30/87,438.4
5/29/87,460.2
6/30/87,449.6
7/31/87,450.5
8/31/87,461.2
9/30/87,460.4
10/30/87,465.4
11/30/87,467.6
12/31/87,486.2
1/29/88,476.6
2/29/88,442.1
3/31/88,443.6
4/29/88,451.6
5/31/88,451.1
6/30/88,451.3
7/29/88,437.6
8/31/88,431.3
9/30/88,413.5
