,CPI,PPI
2012-03-01,253.599,130.0
2012-04-01,255.736,130.9
2012-05-01,250.306,127.2
2012-06-01,244.167,123.0
2012-07-01,239.972,122.5
2012-08-01,250.306,128.3
2012-09-01,256.332,132.5
2012-10-01,250.523,129.3
2012-11-01,238.946,122.5
2012-12-01,233.473,120.6
2013-01-01,234.624,121.9
2013-02-01,248.146,127.2
2013-03-01,249.565,126.2
2013-04-01,244.757,125.1
2013-05-01,247.805,126.3
2013-06-01,251.921,126.8
2013-07-01,251.37,126.9
2013-08-01,250.011,128.3
2013-09-01,248.513,127.7
2013-10-01,238.524,124.3
2013-11-01,233.136,121.1
2013-12-01,234.542,121.7
2014-01-01,239.551,123.2
2014-02-01,242.041,124.7
2014-03-01,250.543,127.9
2014-04-01,252.717,129.8
2014-05-01,255.982,129.4
2014-06-01,259.858,130.7
2014-07-01,257.907,129.9
2014-08-01,250.951,128.9
2014-09-01,247.077,127.0
2014-10-01,234.745,119.6
2014-11-01,221.844,113.9
2014-12-01,209.785,105.6
2015-01-01,192.619,95.7
2015-02-01,196.597,96.8
2015-03-01,204.731,99.7
2015-04-01,203.715,98.6
2015-05-01,214.33,104.8
2015-06-01,220.861,106.9
2015-07-01,219.852,106.6
2015-08-01,213.248,103.2
2015-09-01,201.641,97.0
2015-10-01,194.501,94.0
2015-11-01,189.267,92.0
2015-12-01,183.378,88.3
2016-01-01,180.171,85.1
2016-02-01,172.061,81.9
2016-03-01,179.017,84.3
2016-04-01,185.652,86.5
2016-05-01,192.673,90.2
2016-06-01,200.035,94.5
2016-07-01,195.94,94.5
2016-08-01,193.524,92.9
2016-09-01,195.852,94.2
2016-10-01,194.786,94.5
2016-11-01,191.402,92.2
2016-12-01,193.306,93.9
2017-01-01,199.608,96.8
2017-02-01,198.195,97.6
2017-03-01,198.597,97.2
2017-04-01,202.869,98.7
2017-05-01,203.132,97.3
2017-06-01,204.646,98.1
2017-07-01,202.554,98.2
2017-08-01,205.894,100.6
2017-09-01,215.711,104.3
2017-10-01,207.29,102.0
2017-11-01,209.383,103.7
2017-12-01,206.598,103.4
2018-01-01,210.663,105.2
2018-02-01,213.519,106.4
2018-03-01,212.554,105.6
2018-04-01,218.83,108.0
2018-05-01,226.81,112.8
2018-06-01,229.137,115.3
2018-07-01,227.107,114.9
2018-08-01,226.939,114.6
2018-09-01,226.165,114.7
2018-10-01,225.757,114.9
2018-11-01,215.91,108.0
2018-12-01,205.905,100.2
2019-01-01,200.563,97.4
2019-02-01,202.74,99.5
2019-03-01,211.724,104.7
2019-04-01,222.499,109.3
2019-05-01,225.773,110.3
2019-06-01,221.373,107.5
2019-07-01,222.492,108.8
2019-08-01,216.978,106.9
2019-09-01,215.418,105.1
2019-10-01,216.351,104.8
2019-11-01,214.636,103.2
2019-12-01,212.982,102.6
2020-01-01,213.043,103.6
2020-02-01,208.354,99.6
2020-03-01,199.573,91.5
2020-04-01,183.081,75.7
2020-05-01,183.076,80.0
2020-06-01,193.379,89.0
2020-07-01,197.665,93.3
2020-08-01,197.362,93.8
2020-09-01,198.858,92.8
2020-10-01,196.458,91.6
2020-11-01,194.388,91.8
2020-12-01,198.155,95.6
2021-01-01,205.273,100.8
2021-02-01,213.277,105.5
2021-03-01,225.861,113.2
2021-04-01,229.116,112.7
2021-05-01,235.339,117.1
2021-06-01,240.72,121.0
2021-07-01,244.8,124.953
2021-08-01,246.639,124.773
2021-09-01,248.228,126.378
2021-10-01,255.338,131.0
2021-11-01,259.1,131.264
2021-12-01,256.207,125.617
